instant_utc,debit_m3s
2026-08-16T22:20:00Z,0.06
2026-08-16T22:30:00Z,0.057
2026-08-16T22:40:00Z,0.06
2026-08-16T22:50:00Z,0.058
2026-08-16T23:00:00Z,0.057
2026-08-16T23:10:00Z,0.058
2026-08-16T23:20:00Z,0.058
2026-08-16T23:30:00Z,0.058
2026-08-16T23:40:00Z,0.059
2026-08-16T23:50:00Z,0.056
2026-08-17T00:00:00Z,0.056
2026-08-17T00:10:00Z,0.058
2026-08-17T00:20:00Z,0.056
2026-08-17T00:30:00Z,0.059
2026-08-17T00:40:00Z,0.057
2026-08-17T00:50:00Z,0.058
2026-08-17T01:00:00Z,0.059
2026-08-17T01:10:00Z,0.057
2026-08-17T01:20:00Z,0.059
2026-08-17T01:30:00Z,0.057
2026-08-17T01:40:00Z,0.059
2026-08-17T01:50:00Z,0.059
2026-08-17T02:00:00Z,0.057
2026-08-17T02:10:00Z,0.059
2026-08-17T02:20:00Z,0.054
2026-08-17T02:30:00Z,0.056
2026-08-17T02:40:00Z,0.054
2026-08-17T02:50:00Z,0.057
2026-08-17T03:00:00Z,0.054
2026-08-17T03:10:00Z,0.057
2026-08-17T03:20:00Z,0.058
2026-08-17T03:30:00Z,0.057
2026-08-17T03:40:00Z,0.054
2026-08-17T03:50:00Z,0.056
2026-08-17T04:00:00Z,0.054
2026-08-17T04:10:00Z,0.057
2026-08-17T04:20:00Z,0.054
2026-08-17T04:30:00Z,0.055
2026-08-17T04:40:00Z,0.057
2026-08-17T04:50:00Z,0.056
2026-08-17T05:00:00Z,0.054
2026-08-17T05:10:00Z,0.055
2026-08-17T05:20:00Z,0.054
2026-08-17T05:30:00Z,0.057
2026-08-17T05:40:00Z,0.056
2026-08-17T05:50:00Z,0.058
2026-08-17T06:00:00Z,0.058
2026-08-17T06:10:00Z,0.057
2026-08-17T06:20:00Z,0.056
2026-08-17T06:30:00Z,0.058
2026-08-17T06:40:00Z,0.058
2026-08-17T06:50:00Z,0.055
2026-08-17T07:00:00Z,0.057
2026-08-17T07:10:00Z,0.059
2026-08-17T07:20:00Z,0.057
2026-08-17T07:30:00Z,0.055
2026-08-17T07:40:00Z,0.059
2026-08-17T07:50:00Z,0.055
2026-08-17T08:00:00Z,0.059
2026-08-17T08:10:00Z,0.059
2026-08-17T08:20:00Z,0.056
2026-08-17T08:30:00Z,0.058
2026-08-17T08:40:00Z,0.059
2026-08-17T08:50:00Z,0.058
2026-08-17T09:00:00Z,0.058
2026-08-17T09:10:00Z,0.059
2026-08-17T09:20:00Z,0.058
2026-08-17T09:30:00Z,0.056
2026-08-17T09:40:00Z,0.059
2026-08-17T09:50:00Z,0.056
2026-08-17T10:00:00Z,0.058
2026-08-17T10:10:00Z,0.06
2026-08-17T10:20:00Z,0.058
2026-08-17T10:30:00Z,0.056
2026-08-17T10:50:00Z,0.058
2026-08-17T11:00:00Z,0.058
2026-08-17T11:10:00Z,0.06
2026-08-17T11:20:00Z,0.056
2026-08-17T11:30:00Z,0.056
2026-08-17T11:40:00Z,0.06
2026-08-17T11:50:00Z,0.058
2026-08-17T12:00:00Z,0.059
2026-08-17T12:10:00Z,0.056
2026-08-17T12:20:00Z,0.059
2026-08-17T12:30:00Z,0.056
2026-08-17T12:40:00Z,0.062
2026-08-17T12:50:00Z,0.058
2026-08-17T13:00:00Z,0.062
